baseline;split;n;pozitif_sayisi;prevalans;PR_AUC;ROC_AUC_ek_gosterge;Precision@25;Recall@25;Lift@25;Precision@50;Recall@50;Lift@50;Precision@100;Recall@100;Lift@100;Precision@100_CI_alt;Precision@100_CI_ust
bl_random;test;1200;97;0.0808;0.1066;0.5398;0.2;0.0515;2.474;0.14;0.0722;1.732;0.12;0.1237;1.485;0.06;0.18
bl_expert_rule;test;1200;97;0.0808;0.1227;0.6158;0.12;0.0309;1.485;0.08;0.0412;0.99;0.18;0.1856;2.227;0.11;0.26
bl_zscore_hist;test;1200;97;0.0808;0.1592;0.6604;0.2;0.0515;2.474;0.18;0.0928;2.227;0.19;0.1959;2.351;0.11;0.27
bl_peer;test;1200;97;0.0808;0.0774;0.4858;0.04;0.0103;0.495;0.1;0.0515;1.237;0.07;0.0722;0.866;0.03;0.13
bl_bom_gap;test;1200;97;0.0808;0.1438;0.6162;0.28;0.0722;3.464;0.26;0.134;3.216;0.19;0.1959;2.351;0.1148;0.27
bl_naive_8signal;test;1200;97;0.0808;0.1587;0.6295;0.28;0.0722;3.464;0.24;0.1237;2.969;0.21;0.2165;2.598;0.14;0.3
