sector;label_tr;label_en;nace_code;firm_count;observation_count;packaging_per_production;packaging_per_import;mix_plastik;mix_kagit_karton;mix_cam;mix_metal;mix_kompozit;mix_ahsap;veri_sinifi;generation_method
gida_icecek;Gıda ve içecek;Food and beverage;C10-C11;160;944;0.000967;0.000815;0.009613;0.016247;0.018564;0.007854;0.005601;0.94212;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
kozmetik;Kozmetik ve kişisel bakım;Cosmetics and personal care;C20.42;62;368;0.002003;0.001393;0.016045;0.019761;0.009783;0.005742;0.004586;0.944084;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
ev_temizlik;Ev ve temizlik ürünleri;Household and cleaning;C20.41;45;266;0.002255;0.002279;0.017147;0.039541;0.004921;0.005493;0.005809;0.927088;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
elektronik;Elektronik;Electronics;C26-C27;59;342;0.003295;0.002307;0.0115;0.036302;0.00615;0.004267;0.009996;0.931785;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
tekstil;Tekstil ve hazır giyim;Textile and apparel;C13-C14;93;550;0.001557;0.000986;0.008349;0.013673;0.003464;0.004585;0.004197;0.965732;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
otomotiv_yan_sanayi;Otomotiv yan sanayi;Automotive supply;C29.3;69;414;0.001471;0.001075;0.009087;0.035275;0.005132;0.024101;0.004259;0.922146;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
ilac;İlaç;Pharmaceutical;C21;54;316;0.002116;0.001409;0.006425;0.017669;0.008023;0.003762;0.00576;0.958362;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
kimya_boya;Kimya ve boya;Chemicals and coatings;C20.3;58;348;0.002383;0.001964;0.018907;0.0171;0.005817;0.012462;0.00272;0.942994;derived;"Egitim penceresi (train) medyani: beyan tonaji / uretim miktari; malzeme karisimi ayni pencerede beyan edilen tonajlarin payi"
